Id,Label
0,0.8692573
1,0.849485
2,0.9215161
3,0.2732795
4,0.43328422
5,0.04053371
6,0.81689
7,0.8797179
8,0.8400539
9,0.8906442
10,0.8299581
11,0.004247474
12,0.006579454
13,0.98042285
14,0.8672327
15,0.0012772182
16,0.99062634
17,0.86818045
18,0.9658161
19,0.017139206
20,0.90405285
21,0.7982814
22,0.95138276
23,0.988946
24,0.94452924
25,0.97409725
26,0.90348774
27,0.67217857
28,0.9702159
29,0.9138688
30,0.8549291
31,0.842902
32,0.7878693
33,0.91788393
34,0.8400376
35,0.8054397
36,0.8627131
37,0.09816414
38,0.0012306209
39,0.9304579
40,0.9496846
41,0.89693403
42,0.98567605
43,0.9778309
44,0.7771572
45,0.98306525
46,0.025042672
47,0.97752726
48,0.9234651
49,0.91166925
50,0.79363686
51,0.12234689
52,0.0018804489
53,0.0016411493
54,0.12206175
55,0.90534675
56,0.44512686
57,0.81763756
58,0.752954
59,0.79304075
60,0.9073059
61,0.0023564636
62,0.6723399
63,0.8089345
64,0.29883823
65,0.99165654
66,0.0069602844
67,0.9909859
68,0.6993235
69,0.81249523
70,0.8612653
71,0.95276827
72,0.96451914
73,0.8547555
74,0.89782196
75,0.92240727
76,0.9800597
77,0.8579209
78,0.9032609
79,0.9874757
80,0.0075775855
81,0.8512043
82,0.8305698
83,0.84717035
84,0.024806343
85,0.88113105
86,0.7549996
87,0.0042323875
88,0.00021494366
89,0.9667253
90,0.4137889
91,0.05766733
92,0.003445272
93,0.9760976
94,0.89466995
95,0.7687109
96,0.97614986
97,0.0007859629
98,0.032932498
99,0.009554706
100,0.74219656
101,0.86186624
102,0.06699048
103,0.7605717
104,0.9014159
105,0.9790683
106,0.5519108
107,0.82552606
108,0.68584865
109,0.9440088
110,0.92022586
111,0.66705805
112,0.7849972
113,0.8614994
114,0.99040306
115,0.0017547848
116,0.10219053
117,0.0044930233
118,0.9085843
119,0.14133257
120,0.8338672
121,0.8106345
122,0.76674813
123,0.93125415
124,0.9186741
125,0.039207455
126,0.016502788
127,0.8966684
128,0.86817133
129,0.8246992
130,0.8713865
131,0.94535875
132,0.88935983
133,0.9783992
134,0.004318151
135,0.9157614
136,0.48887193
137,0.7431406
138,0.00016435415
139,0.971788
140,0.013493286
141,0.009102917
142,0.021610375
143,0.83745
144,0.9130042
145,0.68650526
146,0.9034776
147,0.89163405
148,0.9009543
149,0.010300612
150,0.8245087
151,0.87396
152,0.6684126
153,0.8366489
154,0.95640653
155,0.58507746
156,0.86942255
157,0.58342606
158,0.98859054
159,0.7425726
160,0.8351699
161,0.83908105
162,0.5348242
163,0.011992234
164,1.6948888e-10
165,0.80306053
166,0.86105746
167,0.9145474
168,0.9866066
169,0.31239814
170,0.84578687
171,0.5843323
172,0.9275789
173,0.0048010573
174,0.98584753
175,0.9623944
176,0.7696653
177,0.6852865
178,0.016275506
179,0.9910156
180,0.035645317
181,0.8233544
182,0.972012
183,0.8427362
184,0.076662354
185,0.7520573
186,0.42259797
187,0.010566888
188,0.8797445
189,0.983135
190,0.011752396
191,0.7986949
192,0.039808773
193,0.20863271
194,0.70987666
195,0.5670873
196,0.8609051
197,0.44822964
198,0.88872486
199,0.63068193
200,0.67634976
201,0.49191797
202,0.87775815
203,0.9814171
204,0.99120295
205,0.929396
206,0.50003815
207,0.0817863
208,0.5313778
209,0.85989726
210,0.87005955
211,0.78605896
212,0.8627947
213,0.0072512357
214,0.68745416
215,0.4575304
216,0.01281646
217,0.9304115
218,0.8748664
219,0.9722821
220,0.002010389
221,0.89963865
222,0.32404208
223,0.81545496
224,0.83998233
225,0.82769674
226,0.99471223
227,0.8586391
228,0.87381315
229,0.7763333
230,0.8747811
231,0.79764336
232,0.7371853
233,0.55025256
234,0.6826569
235,0.93152404
236,0.10459876
237,0.9129944
238,0.6559158
239,0.6010995
240,0.97869164
241,0.3424861
242,0.9255565
243,0.016293854
244,0.87521297
245,0.02832748
246,0.4271903
247,0.893667
248,0.86702836
249,0.0052611716
250,0.8535959
251,0.02851524
252,0.7519718
253,0.90121794
254,0.76501924
255,0.75284415
256,0.051276024
257,0.715302
258,0.0005181
259,0.7548923
260,0.9115668
261,0.8409762
262,0.97386205
263,0.33013368
264,0.7591368
265,0.077353545
266,0.84327847
267,0.06240906
268,0.8184356
269,0.91089207
270,0.25369206
271,0.38213065
272,0.8068571
273,0.00036096046
274,0.81377095
275,0.8876028
276,0.7610112
277,0.9665823
278,0.3929329
279,0.0037837245
280,0.97455853
281,0.86582357
282,0.98666316
283,0.793891
284,0.851184
285,0.8114505
286,0.9124336
287,0.7797935
288,0.67930824
289,0.85759234
290,0.85788274
291,0.5970037
292,0.9598804
293,0.07783007
294,0.94685555
295,0.72509867
296,0.35136008
297,0.0345172
298,0.14998814
299,0.88049835
300,0.9701817
301,0.99003136
302,0.8694245
303,0.69670326
304,0.9031636
305,0.903143
306,0.034548488
307,0.89434814
308,0.94685423
309,0.8364327
310,0.99485624
311,0.9910272
312,0.52781206
313,0.04782926
314,0.064742535
315,0.21554944
316,0.97787696
317,0.9749841
318,0.83861184
319,0.93220294
320,0.86938506
321,0.82636565
322,0.1731978
323,0.63600636
324,0.9863318
325,0.97541773
326,0.8830097
327,0.93926454
328,0.8422583
329,0.0010587586
330,0.014555632
331,0.88040894
332,0.7378045
333,0.50069183
334,0.8266454
335,3.5028213e-06
336,0.870894
337,2.92142e-05
338,0.95806015
339,0.1593408
340,0.9254064
341,0.8960707
342,0.0126679735
343,0.30540743
344,0.36568362
345,0.31236836
346,0.055313766
347,0.8124311
348,0.014584716
349,0.014589103
350,0.13141465
351,0.9337556
352,0.872298
353,0.0875654
354,0.23974176
355,0.008565523
356,0.5282297
357,0.77034694
358,0.14425804
359,0.10430827
360,0.9168502
361,0.19530492
362,0.8953236
363,0.9225055
364,0.0036778555
365,0.9193447
366,0.22838722
